nameOfIssuer	titleOfClass	cusip	value	sshPrnamt	sshPrnamtType	investmentDiscretion	Sole	Shared	None	otherManager	putCall
1 800 FLOWERS COM	CL A	68243Q106	5958	556841	SH	SOLE	556841	0	0	n/a	n/a
1ST SOURCE CORP	COM	336901103	386	8637	SH	SOLE	8637	0	0	n/a	n/a
2U INC	COM	90214J101	607	20133	SH	SOLE	20133	0	0	n/a	n/a
3-D SYS CORP DEL	COM NEW	88554D205	742	55851	SH	SOLE	55851	0	0	n/a	n/a
3M CO	COM	88579Y101	176223	986858	SH	SOLE	986858	0	0	n/a	n/a
3M CO	COM	88579Y101	63014	352881	SH	SOLE	23636	0	329245	2	n/a
58 COM INC	SPON ADR REP A	31680Q104	43	1541	SH	SOLE	1541	0	0	n/a	n/a
8X8 INC NEW	COM	282914100	673	47087	SH	SOLE	47087	0	0	n/a	n/a
A H BELO CORP	COM CL A	001282102	26	4113	SH	SOLE	4113	0	0	n/a	n/a
A MARK PRECIOUS METALS INC	COM	00181T107	3	133	SH	SOLE	133	0	0	n/a	n/a
A10 NETWORKS INC	COM	002121101	5660	681086	SH	SOLE	681086	0	0	n/a	n/a
AAC HLDGS INC	COM	000307108	42	5859	SH	SOLE	5859	0	0	n/a	n/a
AAON INC	COM PAR $0.004	000360206	692	20945	SH	SOLE	20945	0	0	n/a	n/a
AAR CORP	COM	000361105	567	17156	SH	SOLE	17156	0	0	n/a	n/a
AARONS INC	COM PAR $0.50	002535300	2613	81670	SH	SOLE	81670	0	0	n/a	n/a
ABAXIS INC	COM	002567105	621	11777	SH	SOLE	11777	0	0	n/a	n/a
ABBOTT LABS	COM	002824100	89312	2325227	SH	SOLE	2325227	0	0	n/a	n/a
ABBOTT LABS	COM	002824100	32561	847713	SH	SOLE	112356	0	735357	2	n/a
ABBVIE INC	COM	00287Y109	907	14485	SH	OTR	0	14485	0	n/a	n/a
ABBVIE INC	COM	00287Y109	96931	1547928	SH	SOLE	1547928	0	0	n/a	n/a
ABBVIE INC	COM	00287Y109	43301	691495	SH	SOLE	79123	0	612372	2	n/a
ABERCROMBIE & FITCH CO	CL A	002896207	1992	165994	SH	SOLE	165994	0	0	n/a	n/a
ABIOMED INC	COM	003654100	2658	23585	SH	SOLE	23585	0	0	n/a	n/a
ABM INDS INC	COM	000957100	9258	226686	SH	SOLE	226686	0	0	n/a	n/a
ABRAXAS PETE CORP	COM	003830106	183	71098	SH	SOLE	71098	0	0	n/a	n/a
ACACIA COMMUNICATIONS INC	COM	00401C108	258	4182	SH	SOLE	4182	0	0	n/a	n/a
ACACIA RESH CORP	ACACIA TCH COM	003881307	153	23541	SH	SOLE	23541	0	0	n/a	n/a
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	1486	44909	SH	SOLE	44909	0	0	n/a	n/a
ACADIA PHARMACEUTICALS INC	COM	004225108	1650	57210	SH	SOLE	57210	0	0	n/a	n/a
ACADIA RLTY TR	COM SH BEN INT	004239109	3073	94032	SH	SOLE	94032	0	0	n/a	n/a
ACCELERATE DIAGNOSTICS INC	COM	00430H102	249	11976	SH	SOLE	11976	0	0	n/a	n/a
ACCELERON PHARMA INC	COM	00434H108	20639	808743	SH	SOLE	808743	0	0	n/a	n/a
ACCELERON PHARMA INC	COM	00434H108	2053	80434	SH	SOLE	80434	0	0	2	n/a
ACCENTURE PLC IRELAND	SHS CLASS A	G1151C101	18771	160256	SH	SOLE	160256	0	0	n/a	n/a
ACCENTURE PLC IRELAND	SHS CLASS A	G1151C101	43335	369976	SH	SOLE	0	0	369976	2	n/a
ACCESS NATL CORP	COM	004337101	78	2810	SH	SOLE	2810	0	0	n/a	n/a
ACCO BRANDS CORP	COM	00081T108	1100	84323	SH	SOLE	84323	0	0	n/a	n/a
ACCURAY INC	COM	004397105	196	42622	SH	SOLE	42622	0	0	n/a	n/a
ACELRX PHARMACEUTICALS INC	COM	00444T100	47	18264	SH	SOLE	18264	0	0	n/a	n/a
ACETO CORP	COM	004446100	373	16972	SH	SOLE	16972	0	0	n/a	n/a
ACHILLION PHARMACEUTICALS IN	COM	00448Q201	1574	381089	SH	SOLE	381089	0	0	n/a	n/a
ACI WORLDWIDE INC	COM	004498101	1134	62492	SH	SOLE	62492	0	0	n/a	n/a
ACLARIS THERAPEUTICS INC	COM	00461U105	184	6784	SH	SOLE	6784	0	0	n/a	n/a
ACNB CORP	COM	000868109	78	2511	SH	SOLE	2511	0	0	n/a	n/a
ACORDA THERAPEUTICS INC	COM	00484M106	1124	59765	SH	SOLE	59765	0	0	n/a	n/a
ACTINIUM PHARMACEUTICALS INC	COM	00507W107	7	8447	SH	SOLE	8447	0	0	n/a	n/a
ACTIVISION BLIZZARD INC	COM	00507V109	221574	6136088	SH	SOLE	6101030	0	35058	n/a	n/a
ACTIVISION BLIZZARD INC	COM	00507V109	12335	341604	SH	SOLE	0	0	341604	2	n/a
ACTUA CORP	COM	005094107	276	19687	SH	SOLE	19687	0	0	n/a	n/a
